journal,year,issue,category,detail,source_url
政治学研究,1991,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1991,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1992,1,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1992,2,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1992,3,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1992,4,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1992,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1992,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1993,1,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1993,2,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1993,3,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1993,4,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1993,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1993,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1994,1,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1994,2,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1994,3,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1994,4,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1994,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1994,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1995,2,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1995,3,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1995,4,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
